cluster_name,event_ts,state,decision,decision_metric,current_primary_workers,target_primary_workers,min_primary_workers,max_primary_workers,current_secondary_workers,target_secondary_workers,min_secondary_workers,max_secondary_workers,recommendation_id,status_details
mock-cluster-ss-normal-001,2099-01-01 02:05:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,2,4,2,8,,,,,mock-rec-mock-cluster-ss-normal-001-0001,synthetic mock recommendation
mock-cluster-ss-normal-001,2099-01-01 02:30:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,4,6,2,8,,,,,mock-rec-mock-cluster-ss-normal-001-0002,synthetic mock recommendation
mock-cluster-ss-normal-001,2099-01-01 05:20:00.000000 UTC,RECOMMENDING,SCALE_DOWN,YARN_MEMORY,6,4,2,8,,,,,mock-rec-mock-cluster-ss-normal-001-0003,synthetic mock recommendation
mock-cluster-ss-normal-001,2099-01-01 07:00:00.000000 UTC,RECOMMENDING,SCALE_DOWN,YARN_MEMORY,4,2,2,8,,,,,mock-rec-mock-cluster-ss-normal-001-0004,synthetic mock recommendation
mock-cluster-ss-synth-002,2099-01-01 04:02:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,2,4,2,6,,,,,mock-rec-mock-cluster-ss-synth-002-0001,synthetic mock recommendation
mock-cluster-ss-synth-002,2099-01-01 05:00:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,4,6,2,6,,,,,mock-rec-mock-cluster-ss-synth-002-0002,synthetic mock recommendation
mock-cluster-ss-synth-002,2099-01-01 06:00:00.000000 UTC,RECOMMENDING,SCALE_DOWN,YARN_MEMORY,6,4,2,6,,,,,mock-rec-mock-cluster-ss-synth-002-0003,synthetic mock recommendation
mock-cluster-ss-synth-002,2099-01-01 06:50:00.000000 UTC,RECOMMENDING,SCALE_DOWN,YARN_MEMORY,4,2,2,6,,,,,mock-rec-mock-cluster-ss-synth-002-0004,synthetic mock recommendation
mock-cluster-ss-synth-003,2099-01-01 05:31:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,2,3,2,4,,,,,mock-rec-mock-cluster-ss-synth-003-0001,synthetic mock recommendation
mock-cluster-ss-synth-003,2099-01-01 06:00:00.000000 UTC,RECOMMENDING,SCALE_UP,YARN_MEMORY,3,4,2,4,,,,,mock-rec-mock-cluster-ss-synth-003-0002,synthetic mock recommendation
mock-cluster-ss-synth-003,2099-01-01 06:20:00.000000 UTC,RECOMMENDING,SCALE_DOWN,YARN_MEMORY,4,2,2,4,,,,,mock-rec-mock-cluster-ss-synth-003-0003,synthetic mock recommendation
