cluster_name,recipe_filename,p95_job_duration_ms,avg_job_duration_ms,runs
mock-cluster-show-oom,_DQ3_OOM_RECURRING.json,480000,300000,20
mock-cluster-show-oom,_DQ3_OOM_COMPANION.json,90000,60000,50
mock-cluster-show-needs-execs,_DWH_NEEDS_MORE_EXECUTORS.json,480000,300000,20
mock-cluster-show-holding,_RDM_BOOST_HOLDING.json,480000,300000,20
mock-cluster-show-holding,_RDM_DEGRADED_COMPANION.json,480000,300000,20
mock-cluster-show-ctrl-1,_CTRL_lookup_1.json,90000,60000,50
mock-cluster-show-ctrl-1,_CTRL_lookup_2.json,90000,60000,50
mock-cluster-show-ctrl-1,_CTRL_lookup_3.json,90000,60000,50
mock-cluster-show-ctrl-2,_CTRL_aggregate_1.json,90000,60000,50
mock-cluster-show-ctrl-2,_CTRL_aggregate_2.json,90000,60000,50
mock-cluster-show-ctrl-2,_CTRL_aggregate_3.json,90000,60000,50
mock-cluster-show-ctrl-3,_CTRL_export_1.json,90000,60000,50
mock-cluster-show-ctrl-3,_CTRL_export_2.json,90000,60000,50
mock-cluster-show-ctrl-3,_CTRL_export_3.json,90000,60000,50
mock-cluster-show-ctrl-3,_CTRL_export_4.json,90000,60000,50
